item,raw_count
Banana,208
Cheese,206
Bacon,200
Hazelnut,195
HeavyCream,193
Honey,193
Carrot,192
Bread,189
Apple,188
ShavingFoam,188
Egg,187
Salt,185
Meat,180
Flour,179
Toothpaste,178
Olive,177
Cucumber,177
Onion,176
Butter,174
Milk,172
Sugar,170
Shampoo,170
