antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'Bacon'}),frozenset({'Banana'}),0.43103448275862066,0.4482758620689655,0.2413793103448276,0.56,1.2492307692307694,1.0,0.04815695600475625,1.2539184952978057,0.3506493506493507,0.37837837837837845,0.2025000000000001,0.5492307692307692,Bacon,Banana
frozenset({'Banana'}),frozenset({'Bacon'}),0.4482758620689655,0.43103448275862066,0.2413793103448276,0.5384615384615384,1.2492307692307691,1.0,0.04815695600475625,1.2327586206896552,0.3616071428571429,0.37837837837837845,0.1888111888111888,0.5492307692307692,Banana,Bacon
frozenset({'Bacon'}),frozenset({'Cheese'}),0.43103448275862066,0.44396551724137934,0.22413793103448276,0.52,1.17126213592233,1.0,0.03277348394768134,1.1584051724137931,0.2569930069930071,0.3443708609271523,0.13674418604651162,0.5124271844660194,Bacon,Cheese
frozenset({'Cheese'}),frozenset({'Bacon'}),0.44396551724137934,0.43103448275862066,0.22413793103448276,0.5048543689320388,1.17126213592233,1.0,0.03277348394768134,1.1490872210953347,0.26296958855098396,0.3443708609271523,0.12974404236540163,0.5124271844660194,Cheese,Bacon
"frozenset({'Bacon', 'Banana'})",frozenset({'Cheese'}),0.2413793103448276,0.44396551724137934,0.1400862068965517,0.5803571428571428,1.3072122052704576,1.0,0.0329221165279429,1.3250183418928831,0.3097902097902096,0.2569169960474308,0.24529346622369863,0.4479455617198335,"Bacon, Banana",Cheese
"frozenset({'Bacon', 'Cheese'})",frozenset({'Banana'}),0.22413793103448276,0.4482758620689655,0.1400862068965517,0.6249999999999999,1.394230769230769,1.0,0.039610582639714606,1.4712643678160915,0.3644444444444443,0.2631578947368421,0.3203124999999998,0.4687499999999999,"Bacon, Cheese",Banana
"frozenset({'Banana', 'Cheese'})",frozenset({'Bacon'}),0.22413793103448276,0.43103448275862066,0.1400862068965517,0.6249999999999999,1.4499999999999997,1.0,0.04347502972651604,1.5172413793103445,0.3999999999999999,0.2719665271966527,0.3409090909090907,0.475,"Banana, Cheese",Bacon
frozenset({'Bacon'}),"frozenset({'Banana', 'Cheese'})",0.43103448275862066,0.22413793103448276,0.1400862068965517,0.325,1.45,1.0,0.04347502972651604,1.1494252873563218,0.5454545454545454,0.2719665271966527,0.13,0.475,Bacon,"Banana, Cheese"
frozenset({'Banana'}),"frozenset({'Bacon', 'Cheese'})",0.4482758620689655,0.22413793103448276,0.1400862068965517,0.31249999999999994,1.394230769230769,1.0,0.039610582639714606,1.128526645768025,0.5124999999999998,0.2631578947368421,0.11388888888888882,0.4687499999999999,Banana,"Bacon, Cheese"
frozenset({'Cheese'}),"frozenset({'Bacon', 'Banana'})",0.44396551724137934,0.2413793103448276,0.1400862068965517,0.31553398058252424,1.3072122052704576,1.0,0.0329221165279429,1.1083394472976278,0.42265951103160376,0.2569169960474308,0.09774933804060013,0.4479455617198335,Cheese,"Bacon, Banana"
frozenset({'Bacon'}),frozenset({'Hazelnut'}),0.43103448275862066,0.4202586206896552,0.22198275862068967,0.515,1.2254358974358974,1.0,0.04083680142687279,1.1953430501244222,0.3233303912915565,0.35273972602739734,0.1634200743494424,0.5216025641025641,Bacon,Hazelnut
frozenset({'Hazelnut'}),frozenset({'Bacon'}),0.4202586206896552,0.43103448275862066,0.22198275862068967,0.5282051282051282,1.2254358974358976,1.0,0.04083680142687279,1.20595952023988,0.317320532717364,0.35273972602739734,0.17078477078477083,0.5216025641025641,Hazelnut,Bacon
frozenset({'Banana'}),frozenset({'Hazelnut'}),0.4482758620689655,0.4202586206896552,0.22198275862068967,0.4951923076923077,1.1783037475345168,1.0,0.033590963139120106,1.1484400656814449,0.2742718446601942,0.3433333333333333,0.12925364598227052,0.511698717948718,Banana,Hazelnut
frozenset({'Hazelnut'}),frozenset({'Banana'}),0.4202586206896552,0.4482758620689655,0.22198275862068967,0.5282051282051282,1.1783037475345168,1.0,0.033590963139120106,1.169415292353823,0.26101707149817743,0.3433333333333333,0.14487179487179488,0.511698717948718,Hazelnut,Banana
frozenset({'Hazelnut'}),frozenset({'Cheese'}),0.4202586206896552,0.44396551724137934,0.20689655172413793,0.4923076923076923,1.1088872292755787,1.0,0.020316215814506516,1.0952194357366771,0.1693773234200742,0.3147540983606557,0.08694096601073335,0.4791635548917102,Hazelnut,Cheese
